cod_uf,nome_uf,mun,nome_mun,rm,meso,nome_meso,micro,nome_micro,codmun6,regiao,nome_regiao
11,Rondônia,1100015,Alta Floresta D'Oeste,,1102,Leste Rondoniense,11006,Cacoal,110001,1,Norte
11,Rondônia,1100023,Ariquemes,,1102,Leste Rondoniense,11003,Ariquemes,110002,1,Norte
11,Rondônia,1100031,Cabixi,,1102,Leste Rondoniense,11008,Colorado do Oeste,110003,1,Norte
11,Rondônia,1100049,Cacoal,,1102,Leste Rondoniense,11006,Cacoal,110004,1,Norte
11,Rondônia,1100056,Cerejeiras,,1102,Leste Rondoniense,11008,Colorado do Oeste,110005,1,Norte
11,Rondônia,1100064,Colorado do Oeste,,1102,Leste Rondoniense,11008,Colorado do Oeste,110006,1,Norte
11,Rondônia,1100072,Corumbiara,,1102,Leste Rondoniense,11008,Colorado do Oeste,110007,1,Norte
11,Rondônia,1100080,Costa Marques,,1101,Madeira-Guaporé,11002,Guajará-Mirim,110008,1,Norte
11,Rondônia,1100098,Espigão D'Oeste,,1102,Leste Rondoniense,11006,Cacoal,110009,1,Norte
11,Rondônia,1100106,Guajará-Mirim,,1101,Madeira-Guaporé,11002,Guajará-Mirim,110010,1,Norte
11,Rondônia,1100114,Jaru,,1102,Leste Rondoniense,11004,Ji-Paraná,110011,1,Norte
11,Rondônia,1100122,Ji-Paraná,,1102,Leste Rondoniense,11004,Ji-Paraná,110012,1,Norte
11,Rondônia,1100130,Machadinho D'Oeste,,1102,Leste Rondoniense,11003,Ariquemes,110013,1,Norte
11,Rondônia,1100148,Nova Brasilândia D'Oeste,,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110014,1,Norte
11,Rondônia,1100155,Ouro Preto do Oeste,,1102,Leste Rondoniense,11004,Ji-Paraná,110015,1,Norte
11,Rondônia,1100189,Pimenta Bueno,,1102,Leste Rondoniense,11007,Vilhena,110018,1,Norte
11,Rondônia,1100205,Porto Velho,,1101,Madeira-Guaporé,11001,Porto Velho,110020,1,Norte
11,Rondônia,1100254,Presidente Médici,,1102,Leste Rondoniense,11004,Ji-Paraná,110025,1,Norte
11,Rondônia,1100262,Rio Crespo,,1102,Leste Rondoniense,11003,Ariquemes,110026,1,Norte
11,Rondônia,1100288,Rolim de Moura,,1102,Leste Rondoniense,11006,Cacoal,110028,1,Norte
11,Rondônia,1100296,Santa Luzia D'Oeste,,1102,Leste Rondoniense,11006,Cacoal,110029,1,Norte
11,Rondônia,1100304,Vilhena,,1102,Leste Rondoniense,11007,Vilhena,110030,1,Norte
11,Rondônia,1100320,São Miguel do Guaporé,,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110032,1,Norte
11,Rondônia,1100338,Nova Mamoré,,1101,Madeira-Guaporé,11001,Porto Velho,110033,1,Norte
11,Rondônia,1100346,Alvorada D'Oeste,,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110034,1,Norte
11,Rondônia,1100379,Alto Alegre dos Parecis,,1102,Leste Rondoniense,11006,Cacoal,110037,1,Norte
11,Rondônia,1100403,Alto Paraíso,,1102,Leste Rondoniense,11003,Ariquemes,110040,1,Norte
11,Rondônia,1100452,Buritis,,1101,Madeira-Guaporé,11001,Porto Velho,110045,1,Norte
11,Rondônia,1100502,Novo Horizonte do Oeste,,1102,Leste Rondoniense,11006,Cacoal,110050,1,Norte
11,Rondônia,1100601,Cacaulândia,,1102,Leste Rondoniense,11003,Ariquemes,110060,1,Norte
11,Rondônia,1100700,Campo Novo de Rondônia,,1101,Madeira-Guaporé,11001,Porto Velho,110070,1,Norte
11,Rondônia,1100809,Candeias do Jamari,,1101,Madeira-Guaporé,11001,Porto Velho,110080,1,Norte
11,Rondônia,1100908,Castanheiras,,1102,Leste Rondoniense,11006,Cacoal,110090,1,Norte
11,Rondônia,1100924,Chupinguaia,,1102,Leste Rondoniense,11007,Vilhena,110092,1,Norte
11,Rondônia,1100940,Cujubim,,1101,Madeira-Guaporé,11001,Porto Velho,110094,1,Norte
11,Rondônia,1101005,Governador Jorge Teixeira,,1102,Leste Rondoniense,11004,Ji-Paraná,110100,1,Norte
11,Rondônia,1101104,Itapuã do Oeste,,1101,Madeira-Guaporé,11001,Porto Velho,110110,1,Norte
11,Rondônia,1101203,Ministro Andreazza,,1102,Leste Rondoniense,11006,Cacoal,110120,1,Norte
11,Rondônia,1101302,Mirante da Serra,,1102,Leste Rondoniense,11004,Ji-Paraná,110130,1,Norte
11,Rondônia,1101401,Monte Negro,,1102,Leste Rondoniense,11003,Ariquemes,110140,1,Norte
11,Rondônia,1101435,Nova União,,1102,Leste Rondoniense,11004,Ji-Paraná,110143,1,Norte
11,Rondônia,1101450,Parecis,,1102,Leste Rondoniense,11007,Vilhena,110145,1,Norte
11,Rondônia,1101468,Pimenteiras do Oeste,,1102,Leste Rondoniense,11008,Colorado do Oeste,110146,1,Norte
11,Rondônia,1101476,Primavera de Rondônia,,1102,Leste Rondoniense,11007,Vilhena,110147,1,Norte
11,Rondônia,1101484,São Felipe D'Oeste,,1102,Leste Rondoniense,11007,Vilhena,110148,1,Norte
11,Rondônia,1101492,São Francisco do Guaporé,,1101,Madeira-Guaporé,11002,Guajará-Mirim,110149,1,Norte
11,Rondônia,1101500,Seringueiras,,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110150,1,Norte
11,Rondônia,1101559,Teixeirópolis,,1102,Leste Rondoniense,11004,Ji-Paraná,110155,1,Norte
11,Rondônia,1101609,Theobroma,,1102,Leste Rondoniense,11004,Ji-Paraná,110160,1,Norte
11,Rondônia,1101708,Urupá,,1102,Leste Rondoniense,11004,Ji-Paraná,110170,1,Norte
11,Rondônia,1101757,Vale do Anari,,1102,Leste Rondoniense,11003,Ariquemes,110175,1,Norte
11,Rondônia,1101807,Vale do Paraíso,,1102,Leste Rondoniense,11004,Ji-Paraná,110180,1,Norte
12,Acre,1200013,Acrelândia,,1202,Vale do Acre,12004,Rio Branco,120001,1,Norte
12,Acre,1200054,Assis Brasil,,1202,Vale do Acre,12005,Brasiléia,120005,1,Norte
12,Acre,1200104,Brasiléia,,1202,Vale do Acre,12005,Brasiléia,120010,1,Norte
12,Acre,1200138,Bujari,,1202,Vale do Acre,12004,Rio Branco,120013,1,Norte
12,Acre,1200179,Capixaba,,1202,Vale do Acre,12004,Rio Branco,120017,1,Norte
12,Acre,1200203,Cruzeiro do Sul,,1201,Vale do Juruá,12001,Cruzeiro do Sul,120020,1,Norte
12,Acre,1200252,Epitaciolândia,,1202,Vale do Acre,12005,Brasiléia,120025,1,Norte
12,Acre,1200302,Feijó,,1201,Vale do Juruá,12002,Tarauacá,120030,1,Norte
12,Acre,1200328,Jordão,,1201,Vale do Juruá,12002,Tarauacá,120032,1,Norte
12,Acre,1200336,Mâncio Lima,,1201,Vale do Juruá,12001,Cruzeiro do Sul,120033,1,Norte
12,Acre,1200344,Manoel Urbano,,1202,Vale do Acre,12003,Sena Madureira,120034,1,Norte
12,Acre,1200351,Marechal Thaumaturgo,,1201,Vale do Juruá,12001,Cruzeiro do Sul,120035,1,Norte
12,Acre,1200385,Plácido de Castro,,1202,Vale do Acre,12004,Rio Branco,120038,1,Norte
12,Acre,1200393,Porto Walter,,1201,Vale do Juruá,12001,Cruzeiro do Sul,120039,1,Norte
12,Acre,1200401,Rio Branco,,1202,Vale do Acre,12004,Rio Branco,120040,1,Norte
12,Acre,1200427,Rodrigues Alves,,1201,Vale do Juruá,12001,Cruzeiro do Sul,120042,1,Norte
12,Acre,1200435,Santa Rosa do Purus,,1202,Vale do Acre,12003,Sena Madureira,120043,1,Norte
12,Acre,1200450,Senador Guiomard,,1202,Vale do Acre,12004,Rio Branco,120045,1,Norte
12,Acre,1200500,Sena Madureira,,1202,Vale do Acre,12003,Sena Madureira,120050,1,Norte
12,Acre,1200609,Tarauacá,,1201,Vale do Juruá,12002,Tarauacá,120060,1,Norte
12,Acre,1200708,Xapuri,,1202,Vale do Acre,12005,Brasiléia,120070,1,Norte
12,Acre,1200807,Porto Acre,,1202,Vale do Acre,12004,Rio Branco,120080,1,Norte
13,Amazonas,1300029,Alvarães,,1303,Centro Amazonense,13005,Tefé,130002,1,Norte
13,Amazonas,1300060,Amaturá,,1302,Sudoeste Amazonense,13003,Alto Solimões,130006,1,Norte
13,Amazonas,1300086,Anamã,,1303,Centro Amazonense,13006,Coari,130008,1,Norte
13,Amazonas,1300102,Anori,,1303,Centro Amazonense,13006,Coari,130010,1,Norte
13,Amazonas,1300144,Apuí,,1304,Sul Amazonense,13013,Madeira,130014,1,Norte
13,Amazonas,1300201,Atalaia do Norte,,1302,Sudoeste Amazonense,13003,Alto Solimões,130020,1,Norte
13,Amazonas,1300300,Autazes,RM Manaus,1303,Centro Amazonense,13007,Manaus,130030,1,Norte
13,Amazonas,1300409,Barcelos,,1301,Norte Amazonense,13001,Rio Negro,130040,1,Norte
13,Amazonas,1300508,Barreirinha,,1303,Centro Amazonense,13010,Parintins,130050,1,Norte
13,Amazonas,1300607,Benjamin Constant,,1302,Sudoeste Amazonense,13003,Alto Solimões,130060,1,Norte
13,Amazonas,1300631,Beruri,,1303,Centro Amazonense,13006,Coari,130063,1,Norte
13,Amazonas,1300680,Boa Vista do Ramos,,1303,Centro Amazonense,13010,Parintins,130068,1,Norte
13,Amazonas,1300706,Boca do Acre,,1304,Sul Amazonense,13011,Boca do Acre,130070,1,Norte
13,Amazonas,1300805,Borba,,1304,Sul Amazonense,13013,Madeira,130080,1,Norte
13,Amazonas,1300839,Caapiranga,,1303,Centro Amazonense,13006,Coari,130083,1,Norte
